segment_id,chord_type,rootoffset,globalkey
169,M,0,c#
170,o7,2,c#
171,Mm7,0,c#
172,m,5,c#
173,M,0,c#
174,Mm7,0,c#
175,M,0,c#
176,Mm7,0,c#
177,m,5,c#
178,o7,2,c#
179,M,0,c#
180,m,5,c#
181,M,0,c#
182,o7,2,c#
183,M,0,c#
184,m,5,c#
185,M,0,c#
186,Mm7,0,c#
187,M,0,c#
188,m,5,c#
189,M,0,c#
190,m,5,c#
191,Mm7,0,c#
192,m,5,c#
193,Mm7,0,c#
194,m,5,c#
195,M,2,c#
196,Mm7,1,c#
197,M,2,c#
198,M,1,c#
199,M,2,c#
200,m,2,c#
201,Mm7,3,c#
202,m,2,c#
203,Mm7,1,c#
204,M,2,c#
205,M,1,c#
206,m,2,c#
207,Mm7,1,c#
208,M,2,c#
209,M,1,c#
210,m,2,c#
211,Mm7,3,c#
212,m,2,c#
213,Mm7,2,c#
214,M,1,c#
215,Mm7,1,c#
216,o7,1,c#
217,Mm7,1,c#
218,M,2,c#
219,Mm7,1,c#
220,M,2,c#
221,Mm7,1,c#
222,M,2,c#
223,Mm7,1,c#
224,mm7,2,c#
225,o7,1,c#
226,o,2,c#
227,M,2,c#
228,Mm7,1,c#
229,M,2,c#
230,Mm7,1,c#
231,Mm7,2,c#
232,M,1,c#
233,Mm7,1,c#
234,M,2,c#
235,Mm7,2,c#
236,M,1,c#
237,Mm7,3,c#
238,m,2,c#
239,Mm7,3,c#
240,m,2,c#
241,M,0,c#
242,Mm7,1,c#
243,M,0,c#
244,Mm7,1,c#
245,o7,2,c#
246,o7,5,c#
247,o7,3,c#
248,M,0,c#
249,Mm7,1,c#
250,Mm7,0,c#
251,M,5,c#
252,Mm7,1,c#
253,M,0,c#
254,Mm7,0,c#
255,m,5,c#
256,Mm7,1,c#
257,m,0,c#
258,o7,3,c#
259,m,0,c#
260,o7,5,c#
261,M,1,c#
262,m,0,c#
263,%7,2,c#
264,Mm7,1,c#
265,m,0,c#
266,Mm7,1,c#
267,m,0,c#
268,Mm7,1,c#
269,M,1,c#
270,Mm7,1,c#
271,m,0,c#
272,o7,3,c#
273,m,0,c#
274,m,5,c#
275,m,0,c#
276,m,5,c#
277,M,1,c#
278,m,0,c#
279,Mm7,1,c#
280,m,0,c#
281,o7,3,c#
282,m,0,c#
283,Mm7,1,c#
284,M,1,c#
285,o7,3,c#
286,m,0,c#
287,M,1,c#
288,Mm7,1,c#
289,M,1,c#
290,Mm7,1,c#
291,m,0,c#
292,Mm7,1,c#
293,m,0,c#
294,o7,3,c#
295,M,1,c#
296,m,0,c#
297,o7,3,c#
298,M,1,c#
299,m,0,c#
300,M,1,c#
301,m,0,c#
302,M,1,c#
303,M,0,c#
304,m,5,c#
305,Mm7,1,c#
306,m,0,c#
307,Mm7,1,c#
308,m,0,c#
309,Mm7,1,c#
310,m,0,c#
311,o7,2,c#
312,Mm7,1,c#
313,m,0,c#
314,M,1,c#
315,o7,2,c#
316,Mm7,1,c#
317,m,0,c#
318,M,1,c#
319,o7,3,c#
320,m,0,c#
321,%7,2,c#
322,Mm7,0,c#
323,m,5,c#
324,M,1,c#
325,m,0,c#
326,%7,2,c#
327,Mm7,0,c#
328,m,5,c#
329,M,1,c#
330,m,0,c#
331,M,3,c#
332,M,1,c#
333,M,2,c#
334,m,5,c#
335,m,0,c#
336,o,2,c#
337,M,1,c#
338,m,0,c#
339,M,3,c#
340,mm7,5,c#
341,M,2,c#
342,m,5,c#
343,M,2,c#
344,o,2,c#
345,M,1,c#
346,M,2,c#
347,M,1,c#
348,m,0,c#
349,Mm7,1,c#
350,m,0,c#
351,M,2,c#
352,M,1,c#
353,m,0,c#
354,Mm7,1,c#
355,m,0,c#
356,Mm7,1,c#
357,m,0,c#
358,Mm7,1,c#
359,m,0,c#
360,Mm7,1,c#
361,m,0,c#
362,Mm7,1,c#
363,m,0,c#
364,Mm7,1,c#
365,m,0,c#
366,Mm7,1,c#
367,m,0,c#
368,Mm7,1,c#
369,m,0,c#
370,Mm7,0,c#
371,M,5,c#
372,m,5,c#
373,M,0,c#
374,m,5,c#
375,M,0,c#
376,M,2,c#
377,o7,3,c#
378,M,0,c#
379,m,5,c#
380,M,0,c#
381,m,5,c#
382,M,0,c#
383,m,5,c#
384,M,0,c#
385,m,5,c#
386,M,0,c#
387,m,5,c#
388,M,0,c#
389,m,5,c#
390,M,0,c#
391,m,5,c#
392,M,0,c#
