,index,interval,mc,mn,quarterbeats,duration_qb,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,pedal,chord,numeral,form,figbass,changes,cadence,phraseend,chord_type,globalkey_is_minor,chord_tones,added_tones,root,bass_note,special,pedalend,volta,harmony_layer,regex_match
84,84,"[148.0, 149.0)",51,50,148,1.0,0,0,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
85,85,"[149.0, 150.0)",51,50,149,1.0,1/4,1/4,3/4,2,1,V2(9)/V,,C,I,II2(9),II,,2,9,,,Mm7,False,"(0, 2, 6, 3)","(4,)",2,0,,,,,
86,86,"[150.0, 151.0)",51,50,150,1.0,1/2,1/2,3/4,2,1,V2/V,,C,I,II2,II,,2,,,,Mm7,False,"(0, 2, 6, 3)",(),2,0,,,,,
87,87,"[151.0, 154.0)",52,51,151,3.0,0,0,3/4,2,1,viio43,,C,I,viio43,vii,o,43,,,,o7,False,"(-1, -4, 5, 2)",(),5,-1,,,,,
88,88,"[154.0, 155.0)",53,52,154,1.0,0,0,3/4,2,1,I,,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
89,89,"[155.0, 156.0)",53,52,155,1.0,1/4,1/4,3/4,2,1,I(119),,C,I,I(119),I,,,119,,,M,False,"(0, 4, 1)","(-1, 2)",0,0,,,,,
90,90,"[156.0, 157.0)",53,52,156,1.0,1/2,1/2,3/4,2,1,I],,C,I,I,I,,,,,,M,False,"(0, 4, 1)",(),0,0,,,,,
91,91,"[157.0, 160.0)",54,53,157,3.0,0,0,3/4,2,1,IV,,C,,IV,IV,,,,,,M,False,"(-1, 3, 0)",(),-1,-1,,,,,
92,92,"[160.0, 163.0)",55,54,160,3.0,0,0,3/4,2,1,V(64),,C,,V(64),V,,,64,,,M,False,"(1, 0, 4)",(),1,1,,,,,
93,93,"[163.0, 165.0)",56,55,163,2.0,0,0,3/4,2,1,V7,,C,,V7,V,,7,,,,Mm7,False,"(1, 5, 2, -1)",(),1,1,,,,,
94,94,"[165.0, 166.0)",56,55,165,1.0,1/2,1/2,3/4,2,1,V7(9),,C,,V7(9),V,,7,9,,,Mm7,False,"(1, 5, 2, -1)","(3,)",1,1,,,,,
95,95,"[166.0, 167.0)",57,56,166,1.0,0,0,3/4,2,1,I(94)},,C,,I(94),I,,,94,,},M,False,"(0, -1, 1)","(2,)",0,0,,,,,
96,96,"[167.0, 169.0)",57,56,167,2.0,1/4,1/4,3/4,2,1,I|PAC,,C,,I,I,,,,PAC,,M,False,"(0, 4, 1)",(),0,0,,,,,
